date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:33	19719/19719	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:10%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-2.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-2.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:33	21951/21951	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:10%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-3.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-3.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:34	21405/21405	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:09%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-4.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-4.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:35	20259/20259	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:09%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-5.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-5.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:36	20701/20701	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:09%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-6.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-6.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:36	21019/21019	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:12%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-commercial.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-commercial.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:37	20577/20577	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:08%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-7.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-7.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:37	20842/20842	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:08%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-8.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-8.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:38	21501/21501	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:08%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-9.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-9.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:39	21118/21118	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:11%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-10.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-10.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:40	21202/21202	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:10%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-11.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-11.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:40	19852/19852	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:10%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-page-12.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-page-12.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:41	23577/23577	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:11%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/service-construction.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/service-construction.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:42	29332/29332	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:12%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/prices.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/prices.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:42	18694/18694	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:13%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/coupons.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/coupons.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:43	14878/14878	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:12%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/gallery.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/gallery.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:43	18897/18897	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:06%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/blog.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/blog.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:44	14423/14423	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:06%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/blog-card.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/blog-card.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:44	17607/17607	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:13%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/blog-single.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/blog-single.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:45	20020/20020	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:06%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/tips.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/tips.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:45	18990/18990	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:07%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/shop.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/shop.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:46	13915/13915	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Nov%202017%2009:14:13%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/contact.html	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/contact.html	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
15:42:52	26697/26697	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20May%202017%2013:08:10%20GMT	http://xena.tonytemplates.com/tonytemplates/pool-services/images/category-img-01.jpg	E:/WEB%20TEMPLATES%20HtTrack/DreamPool1/xena.tonytemplates.com/tonytemplates/pool-services/images/category-img-01.jpg	(from http://xena.tonytemplates.com/tonytemplates/pool-services/index.html)
